sept_active,sept_compute,oct_active,oct_compute,nov_active,nov_compute,dec_active,dec_compute
1,14.178300000000018,1,15.313900000000011,1,13.226400000000009,1,7.832300000000004
1,8.684000000000008,1,14.078100000000012,1,9.669300000000009,1,6.963900000000007
1,11.155600000000009,1,18.203000000000017,1,12.29120000000001,1,12.608500000000014
1,9.352000000000013,1,14.87970000000001,1,7.8657000000000075,1,11.940500000000013
1,9.001300000000008,1,12.64190000000001,1,9.18500000000001,1,10.320600000000011
1,14.17830000000002,1,12.641900000000012,1,9.602500000000008,1,23.34660000000002
1,7.915800000000008,1,9.134900000000007,1,7.3146000000000075,1,5.260500000000004
1,9.752800000000008,1,10.604500000000012,1,4.124900000000004,1,3.874400000000004
1,17.53500000000002,1,13.677300000000006,1,15.080100000000005,1,9.452200000000008
1,9.63590000000001,1,12.090800000000009,1,10.838300000000007,1,5.544400000000003
1,11.05540000000001,1,31.880299999999984,1,14.712700000000009,1,7.615200000000007
1,7.214400000000009,1,9.452200000000008,1,6.245800000000006,1,5.511000000000005
1,19.30520000000002,1,20.991900000000026,1,5.761500000000006,1,21.543000000000024
1,9.585800000000013,1,10.85500000000001,1,11.389400000000007,1,9.502300000000005
1,12.77550000000002,1,2.054100000000001,1,2.722100000000003,0,0
1,14.428800000000015,1,51.92030000000013,1,29.2083,1,16.165600000000005
1,14.12820000000001,1,14.629200000000012,1,0.7347999999999999,0,0
1,8.032700000000009,1,14.22840000000001,2,5.327300000000004,2,6.312600000000007
1,11.406100000000013,1,16.86700000000002,1,10.82160000000001,1,7.064100000000007
1,8.316600000000012,1,8.684000000000008,1,7.2144000000000075,1,10.771500000000007
